ID,Date,Glu_I,Ca_I,Cr_I,Na,K,Cl,CO2,BUN,Cr_Z,Glu_Z,Ca_Z,An,HCT,Hb,Mass,WC,Cul,HB,Plas.mass,Plas.num,Plas.FO,Year,Plastic,glucose
162-87176,10/05/2017,9.5,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715,NA,NA,NA,2.333,17,1,2017,High Plastic,171.148105
NL-2017-58,10/05/2017,4.2,NA,957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,252,40.8,93.7,6.034,13,1,2017,High Plastic,75.665478
BW-2017-31,11/05/2017,34.5,2.2,3639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,267,37.8,91.6,1.9335,13,1,2017,High Plastic,621.537855
NL-2025-05,30/04/2025,NA,NA,NA,152,5.3,130,18,15,0.2,350,1.3,11,35,11.9,365,245,91.3,39.7,0,0,0,2025,Low Plastic,350
162-89591,30/04/2025,NA,NA,NA,146,2.7,117,21,<3,<0.2,296,1.37,11,37,12.6,740,288,95.3,41.6,0.0055,1,1,2025,Low Plastic,296
162-89592,30/04/2025,NA,NA,NA,147,3.2,117,19,<3,<0.2,292,1.28,15,40,13.6,605,300,94.4,41,0.0106,1,1,2025,Low Plastic,292
162-89594,30/04/2025,NA,NA,NA,148,3.3,113,23,<3,<0.2,275,1.25,17,40,13.6,610,299,92.9,39.8,2.3871,41,1,2025,High Plastic,275
NL-2025-07,1/05/2025,NA,NA,NA,144,3.7,123,20,<3,<0.2,267,1.31,6,36,12.2,305,241,93.2,41.7,16.0053,142,1,2025,High Plastic,267
162-89595,1/05/2025,NA,NA,NA,142,3.7,118,21,<3,<0.2,267,1.22,8,36,12.2,590,271,95.8,41.5,6.4351,88,1,2025,High Plastic,267
162-89596,1/05/2025,NA,NA,NA,144,3.7,123,20,<3,<0.2,267,1.31,6,36,12.2,770,305,92.1,39.6,0.0943,3,1,2025,Low Plastic,267
162-89597,1/05/2025,NA,NA,NA,149,3.8,118,23,<3,<0.2,244,1.36,13,45,15.3,725,310,97.3,42.7,0.5545,29,1,2025,High Plastic,244
162-89598,1/05/2025,NA,NA,NA,147,3.4,121,20,<3,<0.2,309,1.3,10,32,10.9,655,281,94.7,41.8,2.2725,24,1,2025,High Plastic,309
162-89600,1/05/2025,NA,NA,NA,144,4.3,118,22,<3,0.4,320,1.42,9,34,11.6,705,278,94.7,41.3,1.8626,22,1,2025,High Plastic,320
NL-2025-08,1/05/2025,NA,NA,NA,147,5,128,23,<3,<0.2,276,1.18,3,31,10.5,300,281,88.3,39.4,0.0306,2,1,2025,Low Plastic,276
